Time,Wd,Elevation
0,129,5.5
30,158.5,31.4
60,167.3,36.5
90,170.2,39.4
120,168.4,40.3
150,163.8,39.6
180,160.8,38.9
210,161,39.4
240,163.2,40.9
270,166.6,44
300,171.6,49.1
330,180.6,55
360,181.3,60
390,204.4,64.3
420,217.4,67.5
450,231.9,69.6
480,239,72.2
510,245.5,75.5
540,258.2,80.7
570,260,84.6
600,204,88.2
630,124.4,86
660,113.4,82.7
690,107.1,79.5
720,104.5,77
750,99.6,74.5
780,96.1,71.7
810,92,68.6
840,87.7,66.5
870,82.7,64.9
900,81.1,63.4
930,80.2,62.1
960,78.9,61
990,77.5,59.7
1020,75.2,58.9
1050,72.4,57.8
1080,70.5,56.3
1110,69,55
1140,67.5,53.7
1170,66.3,52.4
1200,65.4,51.2
1230,64.4,50.1
1260,64.1,49.1
1290,63.6,48.2
1320,62.9,47.3
1350,61.9,46.5
1380,61,45.4
1410,59.9,44.4
1440,59.3,43.6
1470,59.4,42.8
1500,60.3,41.8
1530,62.1,40.8
1560,64.1,39.9
1590,66.5,38.7
1620,69.2,37.4
1650,71,36.4
1680,72.5,35.2
1710,74,34.1
1740,75.4,32.9
1770,76.5,32.1
1800,77.2,31.2
1830,77.5,30.4
1860,77.4,29.7
1890,77,29
1920,76.3,28.4
1950,75.4,27.8
1980,74.6,27.3
2010,73.7,26.8
2040,72.9,26.2
2070,72.3,25.6
2100,71.6,25.1
2130,71,24.4
2160,70.6,23.9
2190,70.3,23.6
2220,70.1,23
2250,70.1,22.6
2280,70,22.2
2310,70.1,21.9
