# --------------------------------------------------------------------
# USE OF NOAA GML DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# GML should be informed at the outset of the nature of this work.  
# If the GML data are essential to the work, or if an important 
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:  Pieter Tans (303 497 6678; pieter.tans@noaa.gov)
# 
# File Creation: Sun Oct 16 05:00:30 2022
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information 
# necessary for other scientists to repeat the work and to run 
# modified versions. Model availability includes collaborative 
# support for new users of the models.
# --------------------------------------------------------------------
# 
# 
# See gml.noaa.gov/ccgg/trends/ for additional details.
# 
# NOTE: DATA FOR THE LAST SEVERAL MONTHS ARE PRELIMINARY, ARE STILL SUBJECT
# TO QUALITY CONTROL PROCEDURES.
# NOTE: The week "1 yr ago" is exactly 365 days ago, and thus does not run from
# Sunday through Saturday. 365 also ignores the possibility of a leap year.
# The week "10 yr ago" is exactly 10*365 days +3 days (for leap years) ago.
#
#      Start of week      CO2 molfrac           (-999.99 = no data)  increase

  yr   mon day  decimal      ppm     days       1_yr_ago  10_yr_ago  since_1800
  1974   5  19  1974.3781    333.37  5          -999.99   -999.99     50.39
  1974   5  26  1974.3973    332.95  6          -999.99   -999.99     50.05
  1974   6   2  1974.4164    332.35  5          -999.99   -999.99     49.59
  1974   6   9  1974.4356    332.20  7          -999.99   -999.99     49.64
  1974   6  16  1974.4548    332.37  7          -999.99   -999.99     50.06
  1974   6  23  1974.4740    331.73  5          -999.99   -999.99     49.72
  1974   6  30  1974.4932    331.69  6          -999.99   -999.99     50.03
  1974   7   7  1974.5123    331.46  6          -999.99   -999.99     50.20
  1974   7  14  1974.5315    330.83  5          -999.99   -999.99     50.01
  1974   7  21  1974.5507    330.76  7          -999.99   -999.99     50.41
  1974   7  28  1974.5699    329.81  4          -999.99   -999.99     49.97
  1974   8   4  1974.5890    329.85  5          -999.99   -999.99     50.54
  1974   8  11  1974.6082    329.15  5          -999.99   -999.99     50.37
  1974   8  18  1974.6274    329.06  6          -999.99   -999.99     50.80
  1974   8  25  1974.6466    328.33  7          -999.99   -999.99     50.54
  1974   9   1  1974.6658    328.06  5          -999.99   -999.99     50.68
  1974   9   8  1974.6849    327.56  4          -999.99   -999.99     50.53
  1974   9  15  1974.7041    326.72  6          -999.99   -999.99     49.95
  1974   9  22  1974.7233    326.99  5          -999.99   -999.99     50.37
  1974   9  29  1974.7425    327.31  5          -999.99   -999.99     50.76
  1974  10   6  1974.7616    327.07  6          -999.99   -999.99     50.49
  1974  10  13  1974.7808    327.23  5          -999.99   -999.99     50.53
  1974  10  20  1974.8000    327.40  5          -999.99   -999.99     50.51
  1974  10  27  1974.8192    327.64  7          -999.99   -999.99     50.50
  1974  11   3  1974.8384    327.80  7          -999.99   -999.99     50.39
  1974  11  10  1974.8575    328.50  6          -999.99   -999.99     50.79
  1974  11  17  1974.8767    328.61  6          -999.99   -999.99     50.59
  1974  11  24  1974.8959    328.46  5          -999.99   -999.99     50.14
  1974  12   1  1974.9151    328.80  5          -999.99   -999.99     50.20
  1974  12   8  1974.9342    329.39  7          -999.99   -999.99     50.53
