stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2020080100 01 1007.5 00011  28.4  23.3 199   0.8  74
466920 2020080100 10 1000.0 00080  27.8  22.7 170   1.3  73
466920 2020080100 10  925.0 00769  25.2  18.9 110   2.3  68
466920 2020080100 04  895.7 01052  24.1  17.5 157   0.1  66
466920 2020080100 10  850.0 01507  21.7  12.9 147   4.7  57
466920 2020080100 06  832.2 01692  21.4  11.0 140   7.1  51
466920 2020080100 02  809.8 01928  20.5   9.7 151   9.8  49
466920 2020080100 06  804.9 01982  20.2   9.5 152  10.4  50
466920 2020080100 06  733.9 02771  15.1   6.2 135   7.5  55
466920 2020080100 06  701.3 03155  12.6   3.0 144   8.2  51
466920 2020080100 10  700.0 03170  12.5   2.6 144   8.3  50
466920 2020080100 02  694.0 03242  12.2  -0.1 131   8.3  42
466920 2020080100 06  689.5 03297  11.9  -0.3 124   8.5  42
466920 2020080100 02  684.6 03358  11.4   2.8 123   9.0  55
466920 2020080100 06  662.6 03629  10.0  -3.1 117   8.0  39
466920 2020080100 02  646.0 03837   8.6  -6.8 122   9.8  32
466920 2020080100 02  640.9 03904   7.7  -1.1 123   9.9  53
466920 2020080100 02  639.0 03928   7.9  -6.7 126   9.6  34
466920 2020080100 06  627.6 04078   6.8  -4.7 138   7.7  43
466920 2020080100 06  615.3 04240   5.8  -7.5 124   9.5  37
466920 2020080100 06  593.9 04527   3.9  -7.7 141   9.7  42
466920 2020080100 02  590.6 04573   3.6  -7.2 141   9.1  45
466920 2020080100 02  582.8 04682   2.9 -10.2 132   8.7  37
466920 2020080100 02  579.8 04723   2.8 -14.7 122   8.7  26
466920 2020080100 06  576.1 04775   2.4 -10.8 115   9.0  36
466920 2020080100 02  567.0 04906   1.6  -9.7 127   8.3  42
466920 2020080100 02  547.1 05189   1.0 -25.5 128   9.5  11
466920 2020080100 06  543.1 05249   0.8 -24.1 131   9.7  13
466920 2020080100 06  526.8 05494   0.0 -27.9 104  10.7  10
466920 2020080100 06  517.3 05639  -1.2 -26.2 108  10.8  13
466920 2020080100 10  500.0 05909  -2.7 -22.5 103   8.3  20
466920 2020080100 02  496.1 05969  -2.9 -23.2 103   7.3  19
466920 2020080100 06  495.1 05989  -2.8 -23.9 102   6.9  17
466920 2020080100 06  480.8 06219  -3.9 -32.8  79   6.5   8
466920 2020080100 06  457.0 06616  -6.9 -34.2  91   5.1   9
466920 2020080100 04  431.4 07062 -10.4 -41.5  75   2.6   5
466920 2020080100 10  400.0 07640 -14.2 -43.7  94   3.3   6
466920 2020080100 02  370.7 08213 -18.1 -50.1  86   3.1   4
466920 2020080100 02  325.2 09178 -24.4 -38.5 160   1.2  26
466920 2020080100 02  321.1 09270 -25.0 -46.4 179   1.7  11
466920 2020080100 02  319.6 09304 -25.2 -51.2 181   1.8   7
466920 2020080100 02  317.1 09361 -25.7 -38.6 186   2.0  28
466920 2020080100 10  300.0 09760 -29.0 -39.4 153   3.7  36
466920 2020080100 02  279.2 10269 -33.7 -39.3 191   3.2  57
466920 2020080100 04  271.9 10454 -34.9 -45.7 266   0.3  32
466920 2020080100 02  271.2 10471 -34.9 -46.5 305   0.5  29
466920 2020080100 10  250.0 11035 -39.5 -43.4 323   4.6  66
466920 2020080100 06  248.3 11082 -39.9 -43.6 325   5.0  67
466920 2020080100 02  246.5 11132 -40.4 -43.6 330   5.5  71
466920 2020080100 02  237.7 11378 -42.2 -47.4 332   5.7  57
466920 2020080100 06  226.3 11707 -45.2 -47.9 331   5.1  74
466920 2020080100 02  225.8 11722 -45.4 -48.0 331   5.1  75
466920 2020080100 02  212.4 12126 -49.0 -52.2  12   5.0  69
466920 2020080100 06  212.2 12133 -49.1 -52.3  12   5.1  68
466920 2020080100 02  210.2 12197 -49.6 -55.9   7   6.2  48
466920 2020080100 10  200.0 12518 -52.6 -56.4   6   6.6  63
466920 2020080100 02  199.7 12527 -52.6 -56.5   6   6.7  63
466920 2020080100 02  197.8 12591 -53.2 -58.0   6   7.4  56
466920 2020080100 06  197.1 12613 -53.3 -58.7   6   7.6  52
466920 2020080100 02  194.3 12705 -53.6 -66.1 358   7.9  20
466920 2020080100 06  186.9 12954 -55.8 -59.2 343   7.8  65
466920 2020080100 02  185.8 12991 -56.1 -58.9 344   7.6  70
466920 2020080100 02  175.3 13359 -58.8 -63.7   0   6.6  53
466920 2020080100 06  174.5 13388 -59.1 -63.9   1   7.2  53
466920 2020080100 06  161.5 13869 -62.9 -64.6 343  11.4  80
466920 2020080100 02  157.3 14029 -63.8 -65.3 357  12.7  82
466920 2020080100 02  156.7 14054 -63.9 -65.3 359  13.0  83
466920 2020080100 02  150.4 14306 -64.8 -72.3   9  13.7  35
466920 2020080100 10  150.0 14321 -65.0 -72.6   9  13.5  35
466920 2020080100 02  144.0 14567 -66.1 -74.2  15  13.0  32
466920 2020080100 06  142.4 14637 -66.3 -73.0  18  14.6  39
466920 2020080100 02  139.8 14749 -66.5 -70.2  19  17.1  60
466920 2020080100 02  132.9 15053 -68.7 -71.6  13  16.1  66
466920 2020080100 06  129.7 15196 -69.3 -75.2  15  17.4  43
466920 2020080100 02  127.1 15319 -69.4 -78.1  11  16.6  28
466920 2020080100 06  114.9 15918 -71.0 -83.7  13  10.1  14
466920 2020080100 04  112.2 16057 -71.2 -86.1  20   7.9  10
466920 2020080100 02  100.9 16680 -73.9 -86.2  41  15.9  14
466920 2020080100 12  100.0 16734 -73.9 -86.2  43  16.7  14
466920 2020080100 06   92.1 17209 -74.5 -86.9  58  17.5  14
466920 2020080100 03   86.6 17569 -76.2 -88.4  55  17.7  14
466920 2020080100 06   79.9 18033 -75.8 -89.1  53  16.9  11
466920 2020080100 02   75.8 18342 -74.6 -89.8  60  18.9   8
466920 2020080100 04   75.5 18368 -74.2 -89.7  61  19.0   8
466920 2020080100 10   70.0 18810 -69.8 -91.2  74  12.2   3
466920 2020080100 06   68.8 18914 -68.4 -90.9  84  12.5   3
466920 2020080100 06   66.9 19080 -68.4 -91.4  70  15.0   2
466920 2020080100 02   65.9 19173 -67.2 -91.1  76  15.6   2
466920 2020080100 06   63.7 19373 -68.3 -91.0  91  13.0   2
466920 2020080100 02   62.7 19470 -68.8 -91.4  86  12.4   2
466920 2020080100 06   56.5 20101 -65.0 -91.4  62  10.2   1
466920 2020080100 02   54.1 20364 -63.6 -91.7  64  15.0   1
466920 2020080100 04   53.0 20488 -63.3 -91.5  67  17.3   1
466920 2020080100 04   50.8 20754 -64.4 -91.5  75  16.7   1
466920 2020080100 10   50.0 20848 -64.4 -91.7  74  16.8   1
466920 2020080100 06   44.2 21598 -63.2 -92.3  88  19.3   1
466920 2020080100 02   42.9 21788 -63.0 -92.2  88  18.2   1
466920 2020080100 02   38.0 22543 -59.3 -91.5  93  20.5   0
466920 2020080100 02   34.3 23178 -62.2 -92.2  91  17.4   1
466920 2020080100 04   34.2 23188 -62.2 -92.2  90  17.5   1
466920 2020080100 10   30.0 24011 -59.1 -91.9  80  22.2   0
466920 2020080100 06   28.6 24320 -57.3 -91.5  78  24.1   0
