所在縣市,醫院名稱,編號,醫院評鑑評鑑結果,教學醫院評鑑結果,醫院評鑑合格效期,教學醫院合格效期,醫院電話,地址
基隆市,衛生福利部基隆醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,02-24292525,基隆市信義區信二路268號
基隆市,長庚醫療財團法人基隆長庚紀念醫院及其情人湖院區,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,02-24313131,基隆市安樂區麥金路222號
臺北市,臺北市立聯合醫院中興院區,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-25523234,臺北市大同區鄭州路145號
臺北市,臺北市立聯合醫院陽明院區,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,02-28353456,臺北市士林區雨聲街105號
臺北市,臺北市立聯合醫院和平婦幼院區及其婦幼院區,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,02-23889595,臺北市中正區中華路二段33號_臺北市中正區福州街12號
臺北市,臺北市立聯合醫院忠孝院區,4,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,02-27861288,臺北市南港區同德路87號
臺北市,臺北市立聯合醫院仁愛院區,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,02-27093600,臺北市大安區仁愛路四段10號
臺北市,國立臺灣大學醫學院附設醫院癌醫中心分院,6,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,110/1/1-115/12/31,02-23220322,臺北市大安區基隆路3段155巷57號
臺北市,國立台灣大學醫學院附設醫院,7,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-23123456,臺北市中正區中山南路7_8號_常德街1號
臺北市,三軍總醫院松山分院附設民眾診療服務處,8,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,02-27642151,臺北市松山區健康路131號
臺北市,三軍總醫院附設民眾診療服務處及其汀州院區,9,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-87923311,臺北市內湖區成功路二段325號
臺北市,臺北榮民總醫院,10,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-28712121,臺北市北投區石牌路二段201號
臺北市,西園醫療社團法人西園醫院,11,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-23076968,臺北市萬華區西園路二段266_268_270_272_276號_185_187_189號
臺北市,長庚醫療財團法人台北長庚紀念醫院,12,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-27135211,臺北市松山區敦化北路199號
