stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2021010100 01 1026.0 00011  11.5   6.4  63   1.7  71
466920 2021010100 06 1010.7 00137  10.6   5.0  94   5.1  68
466920 2021010100 10 1000.0 00224  10.1   4.7  91   6.7  69
466920 2021010100 06  970.7 00471   8.0   3.8  69   8.8  74
466920 2021010100 06  925.1 00866   4.6   2.7  67  11.9  87
466920 2021010100 10  925.0 00867   4.6   2.7  67  11.9  87
466920 2021010100 02  901.9 01073   2.7   2.3  73  11.1  97
466920 2021010100 06  892.9 01154   2.3   1.9  78  10.9  97
466920 2021010100 10  850.0 01550  -0.1  -2.8 114  10.2  81
466920 2021010100 06  830.9 01733  -1.1  -1.7 129   8.9  95
466920 2021010100 02  827.9 01761  -1.3  -1.7 133   8.2  96
466920 2021010100 06  819.2 01845  -1.1  -1.3 147   5.8  98
466920 2021010100 04  808.3 01951  -1.2  -1.2 198   3.3 100
466920 2021010100 02  804.7 01987  -0.5  -0.7 214   3.6  98
466920 2021010100 06  794.3 02091  -0.9  -1.7 230   5.0  94
466920 2021010100 02  772.0 02319  -2.8  -2.8 243   6.3 100
466920 2021010100 06  752.5 02522  -4.7  -5.1 265   6.9  96
466920 2021010100 02  751.9 02526  -4.7  -5.3 265   7.0  95
466920 2021010100 02  749.1 02556  -5.1 -12.9 265   7.8  54
466920 2021010100 02  747.2 02577  -3.8 -24.2 263   8.3  18
466920 2021010100 02  745.4 02595  -1.0 -26.9 262   8.8  11
466920 2021010100 02  737.7 02678   0.5 -22.8 255  10.6  15
466920 2021010100 06  720.2 02872   0.5 -12.0 233  13.1  38
466920 2021010100 02  714.7 02934   0.7  -9.9 233  14.4  44
466920 2021010100 02  712.8 02955   0.7  -9.9 234  14.8  45
466920 2021010100 06  707.9 03009   2.6 -15.5 239  15.2  24
466920 2021010100 02  705.8 03032   3.5 -17.6 242  15.0  19
466920 2021010100 10  700.0 03100   3.7 -20.0 252  14.0  15
466920 2021010100 04  694.2 03167   4.0 -22.7 263  14.1  12
466920 2021010100 06  681.5 03319   5.6 -28.1 284  20.3   6
466920 2021010100 04  652.4 03675   7.8 -38.7 274  30.5   2
466920 2021010100 02  651.9 03682   7.9 -38.8 273  30.6   2
466920 2021010100 02  648.1 03730   7.9 -36.8 271  30.8   2
466920 2021010100 06  584.2 04578   2.3 -33.7 269  32.3   4
466920 2021010100 02  572.5 04739   2.3 -36.0 268  32.7   3
466920 2021010100 02  536.6 05257  -2.6 -18.5 266  34.0  28
466920 2021010100 02  527.4 05395  -3.5 -23.2 268  33.2  20
466920 2021010100 02  521.0 05489  -3.5 -44.2 269  32.1   2
466920 2021010100 10  500.0 05813  -5.4 -42.3 270  32.3   3
466920 2021010100 02  476.8 06186  -6.8 -30.4 266  33.5  13
466920 2021010100 02  417.7 07203 -14.0 -44.0 263  35.6   6
466920 2021010100 02  404.1 07451 -15.7 -31.3 260  36.7  25
466920 2021010100 10  400.0 07529 -16.1 -34.4 260  36.5  19
466920 2021010100 02  365.0 08210 -21.9 -41.3 264  34.8  15
466920 2021010100 06  343.1 08663 -24.4 -42.7 273  38.9  16
466920 2021010100 02  331.1 08921 -25.5 -47.5 264  39.6  11
466920 2021010100 06  306.6 09476 -29.8 -49.1 254  39.7  13
466920 2021010100 10  300.0 09626 -31.0 -50.5 256  39.5  13
466920 2021010100 02  264.4 10510 -37.7 -59.0 263  41.6   9
466920 2021010100 02  257.1 10705 -37.9 -61.4 265  43.7   6
466920 2021010100 06  256.0 10734 -38.2 -61.4 265  43.8   7
466920 2021010100 10  250.0 10899 -39.7 -61.5 264  43.7   8
466920 2021010100 05  201.2 12340 -52.9 -62.1 252  46.5  32
466920 2021010100 10  200.0 12376 -53.3 -62.2 251  46.4  33
466920 2021010100 02  193.6 12587 -55.2 -62.7 250  45.5  39
466920 2021010100 02  183.0 12942 -58.5 -67.2 246  44.9  32
466920 2021010100 06  174.9 13226 -60.5 -71.2 242  45.3  24
466920 2021010100 02  166.3 13538 -61.7 -81.1 249  43.6   6
466920 2021010100 10  150.0 14171 -67.2 -80.4 256  43.5  14
466920 2021010100 02  137.4 14691 -72.2 -81.2 259  43.2  26
466920 2021010100 06  131.1 14969 -73.2 -86.6 266  42.1  12
466920 2021010100 06  110.2 15964 -81.0 -87.7 250  38.1  34
466920 2021010100 02  100.1 16503 -83.5 -90.0 262  37.7  34
466920 2021010100 10  100.0 16507 -83.6 -90.0 262  37.7  34
466920 2021010100 02   97.0 16676 -84.6 -90.9 260  37.3  34
466920 2021010100 02   87.8 17228 -85.0 -91.8 273  33.5  31
466920 2021010100 02   84.5 17444 -79.0 -88.1 281  30.2  22
466920 2021010100 06   82.3 17591 -79.4 -87.9 288  28.0  25
466920 2021010100 20   76.9 17983 -76.1 -85.9 263  26.2  21
