stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2021120100 01 1024.4 00011  15.3   7.4  70   4.2  59
466920 2021120100 10 1000.0 00214  13.3   5.6  58   7.0  59
466920 2021120100 06  958.4 00570   9.9   4.9  43   8.1  70
466920 2021120100 10  925.0 00863   7.0   4.0  51   9.2  80
466920 2021120100 10  850.0 01552   1.4   0.3  63  11.1  92
466920 2021120100 06  842.7 01621   0.9  -0.1  65  11.6  93
466920 2021120100 02  829.1 01752  -0.3  -0.3  59  10.8 100
466920 2021120100 06  827.2 01770  -0.5  -0.5  56  10.5 100
466920 2021120100 02  822.3 01817  -0.8  -0.8  46   9.6  99
466920 2021120100 02  821.1 01827  -0.8  -2.7  43   9.5  86
466920 2021120100 02  819.3 01848   0.8  -7.9  38   9.3  52
466920 2021120100 02  817.5 01864   2.7  -9.2  34   9.2  41
466920 2021120100 02  807.8 01963   5.9 -35.0   9   9.6   3
466920 2021120100 02  793.4 02110   8.4 -20.1 337  10.0  11
466920 2021120100 06  765.4 02405   8.2 -12.0 282  10.8  22
466920 2021120100 02  758.9 02477   7.9  -9.3 272  11.3  28
466920 2021120100 06  738.0 02704   5.8  -7.7 261  11.2  37
466920 2021120100 02  701.4 03118   2.1  -9.5 270  14.0  41
466920 2021120100 10  700.0 03134   2.3 -11.5 272  14.4  35
466920 2021120100 02  693.7 03207   3.2 -25.9 276  15.1   9
466920 2021120100 02  680.9 03358   3.5 -53.4 286  14.6   0
466920 2021120100 02  661.7 03590   4.0 -52.5 296  14.9   0
466920 2021120100 06  651.6 03714   3.3 -46.1 305  15.1   1
466920 2021120100 04  605.5 04302  -1.5 -40.8 290  13.5   3
466920 2021120100 06  594.2 04454  -2.5 -42.7 284  15.9   2
466920 2021120100 02  579.0 04658  -3.6 -41.6 288  17.1   3
466920 2021120100 02  571.0 04768  -2.5 -40.8 285  17.1   3
466920 2021120100 06  545.3 05132  -5.5 -37.9 298  20.8   5
466920 2021120100 10  500.0 05805  -9.1 -38.6 276  25.8   7
466920 2021120100 02  484.2 06051 -10.6 -38.1 272  27.4   8
466920 2021120100 06  477.6 06159 -10.0 -51.5 270  28.2   1
466920 2021120100 02  467.0 06331  -9.3 -45.4 270  31.7   3
466920 2021120100 02  427.0 07018 -12.6 -55.3 265  35.2   1
466920 2021120100 02  405.9 07407 -12.8 -47.0 269  40.0   3
466920 2021120100 02  404.7 07429 -12.8 -45.5 269  40.2   4
466920 2021120100 10  400.0 07519 -13.5 -43.9 267  41.1   5
466920 2021120100 06  371.5 08072 -17.6 -45.0 258  42.3   7
466920 2021120100 02  365.1 08203 -18.6 -45.5 257  41.6   7
466920 2021120100 10  300.0 09632 -30.8 -52.0 260  39.7  10
466920 2021120100 10  250.0 10896 -41.7 -57.6 262  40.6  16
466920 2021120100 02  235.5 11299 -45.3 -59.2 260  41.9  19
466920 2021120100 02  221.5 11703 -48.5 -60.3 261  41.9  24
466920 2021120100 10  200.0 12370 -52.7 -69.1 261  44.5  12
466920 2021120100 05  171.8 13337 -59.4 -77.4 255  47.3   8
466920 2021120100 02  160.2 13769 -62.6 -79.9 248  45.8   8
466920 2021120100 10  150.0 14171 -66.5 -79.9 249  44.9  14
466920 2021120100 02  129.4 15048 -74.8 -81.3 251  45.3  37
466920 2021120100 02  121.0 15432 -76.2 -87.0 256  42.5  18
466920 2021120100 03  108.3 16065 -80.9 -88.1 253  39.8  31
466920 2021120100 02  100.1 16511 -81.2 -90.0 255  39.4  23
466920 2021120100 10  100.0 16514 -81.2 -90.0 255  39.4  23
466920 2021120100 02   97.1 16676 -81.3 -90.9 259  36.2  20
466920 2021120100 02   90.8 17067 -74.8 -89.6 259  28.4   9
466920 2021120100 06   84.2 17501 -76.9 -89.3 262  21.1  13
466920 2021120100 02   83.6 17540 -77.1 -89.3 259  20.8  13
466920 2021120100 10   70.0 18565 -76.5 -88.5 260  16.8  14
466920 2021120100 06   66.2 18887 -76.2 -88.8 254  14.5  13
