 Weekly SST data starts week centered on 3Jan1990
                Nino1+2      Nino3        Nino34        Nino4
 Week          SST SSTA     SST SSTA     SST SSTA     SST SSTA
 03JAN1990     23.4-0.4     25.1-0.3     26.6 0.1     28.6 0.5
 10JAN1990     23.4-0.8     25.2-0.3     26.6 0.1     28.6 0.5
 17JAN1990     24.2-0.3     25.3-0.3     26.5-0.1     28.6 0.5
 24JAN1990     24.4-0.4     25.5-0.4     26.5-0.1     28.4 0.3
 31JAN1990     25.1-0.1     25.8-0.2     26.7 0.1     28.4 0.3
 07FEB1990     25.8 0.2     26.1-0.1     26.8 0.2     28.4 0.4
 14FEB1990     25.9 0.0     26.4 0.0     26.9 0.2     28.5 0.5
 21FEB1990     26.1 0.0     26.7 0.2     27.1 0.3     28.9 0.8
 28FEB1990     26.1 0.0     26.7 0.0     27.2 0.3     29.0 0.9
 07MAR1990     26.7 0.5     26.7-0.2     27.3 0.3     28.9 0.8
 14MAR1990     26.1-0.2     26.9-0.2     27.3 0.2     28.6 0.5
 21MAR1990     26.1-0.1     27.2 0.1     27.6 0.3     28.7 0.6
 28MAR1990     25.7-0.3     27.5 0.3     27.8 0.4     28.8 0.6
 04APR1990     25.6-0.2     27.6 0.4     27.9 0.4     28.8 0.5
 11APR1990     25.1-0.4     27.6 0.3     27.9 0.3     28.8 0.4
 18APR1990     25.3 0.0     27.7 0.3     28.0 0.3     28.9 0.5
 25APR1990     25.1 0.1     27.8 0.5     28.2 0.5     29.2 0.7
 02MAY1990     24.6-0.2     27.6 0.4     28.1 0.4     29.0 0.5
 09MAY1990     24.2-0.3     27.5 0.4     28.1 0.4     28.9 0.3
 16MAY1990     24.3 0.0     27.4 0.3     28.0 0.3     28.8 0.2
 23MAY1990     23.7-0.3     27.2 0.3     28.1 0.4     29.0 0.4
 30MAY1990     23.4-0.3     27.1 0.3     27.9 0.3     28.9 0.3
 06JUN1990     23.2-0.2     26.7 0.1     27.7 0.2     28.9 0.2
 13JUN1990     22.8-0.3     26.6 0.2     27.7 0.2     29.0 0.3
