Year_of_Release,Platform,Genre,Global_Sales
-01-0106-01-01,Wii,Sports,82.53
1985-01-01,NES,Platform,40.24
-01-0108-01-01,Wii,Racing,35.52
-01-0109-01-01,Wii,Sports,32.77
1996-01-01,GB,Role-Playing,31.37
1989-01-01,GB,Puzzle,30.26
-01-0106-01-01,DS,Platform,29.8
-01-0106-01-01,Wii,Misc,28.92
-01-0109-01-01,Wii,Platform,28.32
1984-01-01,NES,Shooter,28.31
-01-0105-01-01,DS,Simulation,24.67
-01-0105-01-01,DS,Racing,23.21
1999-01-01,GB,Role-Playing,23.1
-01-0107-01-01,Wii,Sports,22.7
-01-01-01-01-01-01,X360,Misc,21.81
-01-0109-01-01,Wii,Sports,21.79
-01-0113-01-01,PS3,Action,21.04
-01-0104-01-01,PS2,Action,20.81
19-01-01-01-01,SNES,Platform,20.61
-01-0105-01-01,DS,Misc,20.15
-01-0106-01-01,DS,Role-Playing,18.25
1989-01-01,GB,Platform,18.14
1988-01-01,NES,Platform,17.28
-01-0113-01-01,X360,Action,16.27
-01-0102-01-01,PS2,Action,16.15
-01-0102-01-01,GBA,Role-Playing,15.85
-01-0105-01-01,DS,Puzzle,15.29
-01-01-01-01-01-01,DS,Role-Playing,15.14
-01-0101-01-01,PS2,Racing,14.98
-01-0111-01-01,X360,Shooter,14.73
1998-01-01,GB,Role-Playing,14.64
-01-0115-01-01,PS4,Shooter,14.63
-01-01-01-01-01-01,X360,Shooter,14.61
-01-0113-01-01,3DS,Role-Playing,14.6
-01-0112-01-01,PS3,Shooter,13.79
-01-0112-01-01,X360,Shooter,13.67
-01-0109-01-01,X360,Shooter,13.47
-01-0111-01-01,PS3,Shooter,13.32
-01-0101-01-01,PS2,Action,13.1
-01-0108-01-01,Wii,Fighting,12.84
-01-0111-01-01,3DS,Racing,12.66
-01-01-01-01-01-01,PS3,Shooter,12.63
-01-0114-01-01,PS4,Action,12.61
-01-0105-01-01,DS,Simulation,12.13
-01-0107-01-01,X360,Shooter,12.12
1996-01-01,N64,Platform,11.89
-01-0109-01-01,DS,Action,11.77
-01-0114-01-01,3DS,Role-Playing,11.68
-01-0104-01-01,PS2,Racing,11.66
-01-0107-01-01,Wii,Platform,11.35
1992-01-01,GB,Adventure,11.18
-01-0108-01-01,X360,Action,11.01
1997-01-01,PS,Racing,10.95
-01-0111-01-01,3DS,Platform,10.81
-01-01-01-01-01-01,PS3,Racing,10.7
-01-0109-01-01,PS3,Shooter,10.6
1993-01-01,SNES,Platform,10.55
-01-0108-01-01,PS3,Action,10.5
-01-0104-01-01,GBA,Role-Playing,10.49
-01-0104-01-01,DS,Platform,10.3
-01-0113-01-01,X360,Shooter,10.25
-01-0111-01-01,Wii,Misc,10.12
-01-0112-01-01,3DS,Platform,9.9
1996-01-01,N64,Racing,9.87
-01-01-01-01-01-01,X360,Shooter,9.86
1997-01-01,PS,Role-Playing,9.72
-01-0112-01-01,X360,Shooter,9.71
1999-01-01,PS,Racing,9.49
-01-01-01-01-01-01,Wii,Misc,9.44
-01-0113-01-01,PS3,Shooter,9.36
-01-0107-01-01,X360,Shooter,9.31
1994-01-01,SNES,Platform,9.3
-01-0113-01-01,X360,Misc,9.18
-01-0112-01-01,3DS,Simulation,9.16
-01-0107-01-01,DS,Misc,8.91
-01-0111-01-01,X360,Role-Playing,8.79
1992-01-01,SNES,Racing,8.76
-01-0115-01-01,PS4,Sports,8.57
-01-0104-01-01,XB,Shooter,8.49
-01-01-01-01-01-01,Wii,Misc,8.38
-01-0107-01-01,Wii,Misc,8.27
-01-0112-01-01,PS3,Action,8.16
1997-01-01,N64,Shooter,8.09
-01-0112-01-01,DS,Role-Playing,8.07
-01-0101-01-01,PS2,Role-Playing,8.05
-01-0109-01-01,PC,Simulation,8.01
-01-0107-01-01,Wii,Sports,7.99
-01-0115-01-01,PS4,Shooter,7.98
1999-01-01,PS,Role-Playing,7.86
1982-01-01,2600,Puzzle,7.81
-01-0108-01-01,DS,Role-Playing,7.72
-01-0105-01-01,PSP,Action,7.69
-01-0114-01-01,PS4,Shooter,7.66
1998-01-01,N64,Action,7.6
-01-0116-01-01,PS4,Sports,7.59
1997-01-01,PS,Platform,7.58
-01-0114-01-01,3DS,Fighting,7.55
-01-01-01-01-01-01,Wii,Platform,7.51
1988-01-01,NES,Platform,7.46
-01-0115-01-01,XOne,Shooter,7.39
-01-0108-01-01,X360,Shooter,7.38
-01-0111-01-01,X360,Shooter,7.32
-01-0103-01-01,PS2,Racing,7.2
-01-0109-01-01,Wii,Misc,7.2
-01-0111-01-01,PS3,Shooter,7.17
-01-0115-01-01,PS4,Role-Playing,7.16
1998-01-01,PS,Fighting,7.16
-01-0106-01-01,Wii,Action,7.15
-01-0116-01-01,3DS,Role-Playing,7.14
1998-01-01,PS,Platform,7.13
-01-0114-01-01,WiiU,Racing,7.09
-01-0101-01-01,GC,Fighting,7.07
-01-0103-01-01,GC,Racing,6.95
-01-0104-01-01,PS2,Racing,6.9
-01-0102-01-01,PS2,Shooter,6.83
1996-01-01,PS,Platform,6.82
-01-0112-01-01,Wii,Misc,6.76
-01-0108-01-01,X360,Shooter,6.75
-01-0111-01-01,PS3,Action,6.74
-01-01-01-01-01-01,Wii,Sports,6.71
-01-0107-01-01,PS3,Shooter,6.68
-01-0109-01-01,PS3,Action,6.66
-01-0111-01-01,PS3,Sports,6.65
-01-0105-01-01,DS,Misc,6.62
1986-01-01,NES,Action,6.51
-01-01-01-01-01-01,PS3,Action,6.49
-01-0113-01-01,PS3,Sports,6.47
-01-0112-01-01,PS3,Action,6.45
-01-01-01-01-01-01,Wii,Platform,6.44
-01-0101-01-01,XB,Shooter,6.43
-01-0111-01-01,PS3,Role-Playing,6.41
-01-0104-01-01,GBA,Role-Playing,6.41
-01-0102-01-01,PS2,Role-Playing,6.4
-01-01-01-01-01-01,GB,Role-Playing,6.39
-01-0109-01-01,X360,Shooter,6.34
-01-01-01-01-01-01,X360,Action,6.32
-01-0102-01-01,GC,Platform,6.31
1992-01-01,SNES,Fighting,6.3
-01-0104-01-01,PC,Role-Playing,6.29
1999-01-01,PS,Action,6.27
-01-0111-01-01,X360,Shooter,6.21
-01-01-01-01-01-01,X360,Sports,6.19
-01-0106-01-01,X360,Shooter,6.09
-01-0114-01-01,PS4,Sports,6.08
-01-0101-01-01,PS2,Action,6.05
1992-01-01,GEN,Platform,6.03
1998-01-01,PS,Action,6.03
-01-0108-01-01,PS3,Action,5.99
-01-0106-01-01,PS2,Role-Playing,5.95
-01-0113-01-01,PS3,Action,5.87
-01-0108-01-01,PS3,Platform,5.82
1998-01-01,PS,Action,5.82
-01-0109-01-01,DS,Role-Playing,5.78
1996-01-01,PS,Fighting,5.74
-01-0114-01-01,PS4,Shooter,5.64
-01-0107-01-01,Wii,Action,5.64
-01-0106-01-01,DS,Simulation,5.63
1988-01-01,NES,Puzzle,5.58
1999-01-01,N64,Fighting,5.55
-01-0109-01-01,PS3,Action,5.55
-01-0107-01-01,X360,Adventure,5.54
-01-0109-01-01,X360,Racing,5.49
-01-0101-01-01,GBA,Platform,5.49
-01-0108-01-01,PSP,Role-Playing,5.48
-01-0111-01-01,PS3,Action,5.48
-01-0114-01-01,XOne,Action,5.48
-01-0101-01-01,GBA,Racing,5.47
-01-0101-01-01,GBA,Platform,5.46
1999-01-01,N64,Strategy,5.45
-01-0101-01-01,PS2,Platform,5.42
-01-0108-01-01,PS3,Shooter,5.39
-01-0116-01-01,PS4,Shooter,5.38
1989-01-01,GB,Puzzle,5.34
-01-0109-01-01,PS3,Role-Playing,5.33
1999-01-01,GB,Misc,5.31
-01-01-01-01-01-01,PS,Role-Playing,5.3
-01-0112-01-01,X360,Action,5.29
-01-0103-01-01,PS2,Role-Playing,5.29
1999-01-01,N64,Platform,5.27
-01-0114-01-01,XOne,Shooter,5.27
-01-0114-01-01,PS3,Misc,5.26
-01-0109-01-01,X360,Action,5.26
1997-01-01,PS,Action,5.24
nan,PS2,Sports,5.23
-01-0113-01-01,3DS,Simulation,5.23
-01-0112-01-01,WiiU,Platform,5.22
-01-0104-01-01,PS2,Role-Playing,5.21
-01-0103-01-01,GBA,Platform,5.2
-01-0107-01-01,DS,Puzzle,5.19
1994-01-01,GB,Platform,5.19
-01-0112-01-01,X360,Action,5.16
1995-01-01,SNES,Platform,5.15
-01-0112-01-01,PC,Role-Playing,5.14
-01-0103-01-01,PS2,Shooter,5.13
1992-01-01,GB,Platform,5.13
1996-01-01,PC,Simulation,5.12
-01-0106-01-01,PS2,Misc,5.12
