periods, principals, result
1, 33500.00, 34253.75
2, 34253.75, 35024.46
3, 35024.46, 35812.51
4, 35812.51, 36618.29
5, 36618.29, 37442.20
6, 37442.20, 38284.65
7, 38284.65, 39146.06
8, 39146.06, 40026.84
9, 40026.84, 40927.45
10, 40927.45, 41848.31
11, 41848.31, 42789.90
12, 42789.90, 43752.67
13, 43752.67, 44737.11
14, 44737.11, 45743.69
15, 45743.69, 46772.93
16, 46772.93, 47825.32
17, 47825.32, 48901.39
18, 48901.39, 50001.67
19, 50001.67, 51126.71
20, 51126.71, 52277.06
21, 52277.06, 53453.29
22, 53453.29, 54655.99
23, 54655.99, 55885.75
24, 55885.75, 57143.18
25, 57143.18, 58428.90
